ID_UNIQUE,NATURE,ACTI_NOM,TYPE_LIEU_INTERV,RUE,RUE_INTERSECTION1,RUE_INTERSECTION2,LOC_ERREUR_GDT,ARRONDISSEMENT,ARRONDISSEMENT_GEO,LIN_CODE_POSTAL,DDS_DATE_CREATION,PROVENANCE_ORIGINALE,PROVENANCE_TELEPHONE,PROVENANCE_COURRIEL,PROVENANCE_PERSONNE,PROVENANCE_COURRIER,PROVENANCE_TELECOPIEUR,PROVENANCE_INSTANCE,PROVENANCE_MOBILE,PROVENANCE_MEDIASOCIAUX,PROVENANCE_SITEINTERNET,UNITE_RESP_PARENT,LOC_LONG,LOC_LAT,LOC_X,LOC_Y
"","Information","Débris sur la voie publique","","","","","","","","","2014-01-01T04:06:49","Téléphone","1","0","0","0","0","0","0","0","0","SEC.CENT.SERVICE.311","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:02:14","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:02:38","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Info-Remorquage","","","","","","","","","2014-01-01T09:03:19","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Bureau d'arrondissement - Service à la clientèle","","","","","","","","","2014-01-01T09:04:11","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Eau - Divers","","","","","","","","","2014-01-01T09:06:16","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:06:17","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:06:25","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Organisme divers","","","","","","","","","2014-01-01T09:07:15","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:08:49","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Fuite d'eau","","","","","","","","","2014-01-01T09:09:45","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:10:07","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Centre de services 311","","","","","","","","","2014-01-01T09:10:19","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:11:42","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:12:52","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Eau - Divers","","","","","","","","","2014-01-01T09:13:13","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Organisme divers","","","","","","","","","2014-01-01T09:14:36","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:15:48","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:16:29","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:19:01","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:21:07","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Parc - Activité hivernale","","","","","","","","","2014-01-01T09:21:58","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:24:47","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Bureau d'arrondissement - Service à la clientèle","","","","","","","","","2014-01-01T09:25:13","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:25:34","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Info-Remorquage","","","","","","","","","2014-01-01T09:27:23","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:27:55","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:28:45","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Eau - Divers","","","","","","","","","2014-01-01T09:28:54","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte d'arbres de Noël","","","","","","","","","2014-01-01T09:28:58","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Sports et loisirs - Activités","","","","","","","","","2014-01-01T09:32:42","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:36:45","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Écocentre","","","","","","","","","2014-01-01T09:37:34","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Fuite d'eau","","","","","","","","","2014-01-01T09:37:45","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:39:59","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:40:14","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Sports et loisirs - Activités","","","","","","","","","2014-01-01T09:42:27","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Neige - Remorquage","","","","","","","","","2014-01-01T09:43:35","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","UIR - Police","","","","","","","","","2014-01-01T09:43:46","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:43:49","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte de déchets","","","","","","","","","2014-01-01T09:44:33","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Collecte des matières recyclables","","","","","","","","","2014-01-01T09:46:20","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Sports et loisirs - Activités","","","","","","","","","2014-01-01T09:46:41","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Parc - Activité hivernale","","","","","","","","","2014-01-01T09:47:25","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
"","Information","Taxes foncières","","","","","","","","","2014-01-01T09:49:23","Téléphone","1","0","0","0","0","0","0","0","0","LASALLE","","","",""
